# ID  x_1     x_2     x_3     x_4     x_5      x_6     x_7     x_8     
s_1   -0.859  -1.71   -0.18   -1.17   -0.335   0.819   1.61    -1.43   
s_2   1.56    1.75    1.11    -0.428  -0.612   1.22    -0.156  1.5     
s_3   1.69    1.04    -0.496  -0.19   -0.822   -0.575  -0.685  0.0963  
s_4   -0.601  0.86    -1.29   -0.897  0.201    -1.22   0.864   -0.89   
s_5   -0.833  -0.265  -0.818  -0.47   0.586    -0.24   0.964   -1.17   
s_6   0.0765  -0.629  0.498   0.399   0.0105   -0.385  -0.732  1.03    
s_7   -0.837  0.374   1.42    -0.946  -0.92    0.0128  -0.941  -0.733  
s_8   -1.56   0.451   -2.78   -1.4    -1.33    0.976   0.229   0.986   
s_9   -1.5    0.506   1.69    0.451   -1.07    0.0576  2.54    -0.617  
s_10  -1.82   -0.528  0.397   -1.42   0.00434  -0.605  -0.207  -1.25   
