# ID  x_1   x_2   x_3   x_4   x_5   x_6   x_7   x_8   
s_1   9.24  8.39  9.92  8.93  9.76  10.9  11.7  8.67  
s_2   11.7  11.9  11.2  9.67  9.49  11.3  9.94  11.6  
s_3   11.8  11.1  9.6   9.91  9.28  9.52  9.41  10.2  
s_4   9.5   11    8.81  9.2   10.3  8.88  11    9.21  
s_5   9.27  9.84  9.28  9.63  10.7  9.86  11.1  8.93  
s_6   10.2  9.47  10.6  10.5  10.1  9.71  9.37  11.1  
s_7   9.26  10.5  11.5  9.15  9.18  10.1  9.16  9.37  
s_8   8.54  10.6  7.32  8.7   8.77  11.1  10.3  11.1  
s_9   8.6   10.6  11.8  10.6  9.03  10.2  12.6  9.48  
s_10  8.28  9.57  10.5  8.68  10.1  9.49  9.89  8.85  
