# ID  x_1    x_2     x_3     x_4     x_5     x_6     x_7     x_8    
s_1   -2.15  -4.27   -0.449  -2.93   -0.838  2.05    4.03    -3.57  
s_2   3.89   4.38    2.78    -1.07   -1.53   3.05    -0.39   3.75   
s_3   4.22   2.59    -1.24   -0.475  -2.06   -1.44   -1.71   0.241  
s_4   -1.5   2.15    -3.23   -2.24   0.503   -3.05   2.16    -2.22  
s_5   -2.08  -0.661  -2.05   -1.18   1.46    -0.601  2.41    -2.92  
s_6   0.191  -1.57   1.25    0.998   0.0262  -0.963  -1.83   2.57   
s_7   -2.09  0.936   3.55    -2.36   -2.3    0.0319  -2.35   -1.83  
s_8   -3.91  1.13    -6.95   -3.51   -3.33   2.44    0.572   2.46   
s_9   -3.76  1.26    4.22    1.13    -2.68   0.144   6.34    -1.54  
s_10  -4.54  -1.32   0.994   -3.54   0.0108  -1.51   -0.518  -3.12  
