#qa       sa        qs    qe    ss    se    score
X78384.1  X78384.1  1     4761  1     4761  4761.0
X60113.1  X78384.1  2259  2554  2299  2594  164.0
X60113.1  X78384.1  3657  3820  3865  4028  76.0
X60113.1  X78384.1  3220  3323  3225  3328  68.0
X60113.1  X78384.1  2142  2245  2182  2285  64.0
X78384.1  X60113.1  2299  2594  2259  2554  164.0
X78384.1  X60113.1  3865  4028  3657  3820  76.0
X78384.1  X60113.1  3225  3328  3220  3323  68.0
X78384.1  X60113.1  2182  2285  2142  2245  64.0
X60113.1  X60113.1  1     4433  1     4433  4433.0
