#qa       sa        qs    qe    sa    se    score
X78384.1  X78384.1  1     4761  1     4761  4761.0
X60113.1  X78384.1  2142  2554  2182  2594  217.0
X60113.1  X78384.1  3621  3820  3829  4028  80.0
X60113.1  X78384.1  3220  3323  3225  3328  68.0
X60113.1  X78384.1  2766  2879  2813  2926  46.0
X78384.1  X60113.1  2182  2594  2142  2554  217.0
X78384.1  X60113.1  3829  4028  3621  3820  80.0
X78384.1  X60113.1  3225  3328  3220  3323  68.0
X78384.1  X60113.1  2813  2926  2766  2879  46.0
X60113.1  X60113.1  1     4433  1     4433  4433.0
